Date,Authorname,CentralBank,Role,position_in_fed,district,female,minority,federal_reserve,pca_0,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,pca_13,pca_14,pca_15,pca_16,pca_17,pca_18,pca_19
1986-05-30,Emmett John Rice,Board of Governors of the Federal Reserve,Board member,Member,New York,0.0,1.0,Board of Governors,-0.27756706,-0.68873346,1.3086246,-0.8375704,0.540846,-0.62633604,-0.30309522,0.1402234,1.1130123,-0.74044013,-0.42820746,0.5756924,0.14917845,-0.91656965,-0.27301106,-0.7645187,0.92054874,0.7075768,-0.9744157,-0.78431743
1986-06-04,Manuel H Johnson,Board of Governors of the Federal Reserve,Board member,Member,Richmond,0.0,0.0,Board of Governors,-0.39180806,0.671728,0.6623945,-1.1467917,1.6839048,-0.721042,-0.9320045,0.14162724,0.23724437,0.05682868,1.1144828,-1.3328642,0.013600827,0.25624827,0.40606126,0.03421469,0.66717315,1.8910444,1.1901487,0.85268795
1986-06-04,Manuel H Johnson,Board of Governors of the Federal Reserve,Board member,Member,Richmond,0.0,0.0,Board of Governors,-0.22793256,1.6665741,-0.8814061,1.1378752,0.26812753,0.801218,1.1914971,-1.6933709,0.9616412,0.46969694,-0.2302813,-1.3582759,0.24313001,-2.5165935,-0.22194366,-2.4650228,1.133055,0.23523736,-1.3416141,0.71130526
1986-06-05,Paul A Volcker,Board of Governors of the Federal Reserve,Governor,Chair,Philadelphia,0.0,0.0,Board of Governors,-0.10354419,-1.8399441,0.31149969,-0.22772446,-3.3586917,-0.91637826,-0.7554921,-0.035219364,-0.043795165,-0.034931887,0.12695833,1.0099533,-0.47103944,-0.7234056,-0.7643538,-0.59232277,0.090050496,0.86657417,0.13146454,-1.1344541
1986-06-05,Paul A Volcker,Board of Governors of the Federal Reserve,Governor,Chair,Philadelphia,0.0,0.0,Board of Governors,0.7160299,-0.8773854,-0.99110204,0.9840451,2.5938654,2.681267,0.4838869,-2.8489275,-3.8025799,1.4634589,1.9343184,-3.3117504,-0.25422025,1.7610918,-1.0982648,-3.8902133,0.8641465,-5.110146,-0.518355,-5.0770288
1986-06-11,Paul A Volcker,Board of Governors of the Federal Reserve,Governor,Chair,Philadelphia,0.0,0.0,Board of Governors,0.02974738,0.19857876,-1.8122995,1.4489957,1.063014,0.045432787,-0.4201865,-1.3760871,-0.5348936,1.1914678,-0.5548077,-1.6242591,-0.30856583,0.7670884,-0.33407474,-0.9398548,-0.24042606,0.3934797,-0.53492624,-0.13271134
1986-06-12,Robert P Forrestal,Federal Reserve Bank of Atlanta,Governor,President,Atlanta,0.0,0.0,Federal Reserve Bank of Atlanta,-0.33941418,0.26177627,0.13821094,-0.6298089,-0.068512045,0.09830971,-0.5453884,0.12735906,-0.7726167,0.60813385,-0.9799507,-1.2628801,0.52832496,0.06865123,-0.10140123,-0.36019862,0.37711626,1.1374943,-0.6976646,1.7788417
1986-06-15,Paul A Volcker,Board of Governors of the Federal Reserve,Governor,Chair,Philadelphia,0.0,0.0,Board of Governors,-0.064425595,-2.3220458,0.16663946,-1.1471854,-3.59521,-1.0192482,0.078536525,-0.67344743,-0.38863498,-0.49905884,-0.32058385,0.18211628,-0.28979662,-0.8968949,-0.7706153,-0.33891034,-0.8434672,1.2849774,0.14815003,-1.3384093
1986-06-17,Manuel H Johnson,Board of Governors of the Federal Reserve,Board member,Member,Richmond,0.0,0.0,Board of Governors,0.025537742,0.5664036,-1.6923261,0.9832101,1.4986136,1.90203,-0.5530481,-2.4737847,-0.089744404,0.90307796,-0.36580628,-1.5850092,0.50579166,-0.20081657,-0.5485373,-1.4030676,-0.09907473,-0.19924457,-0.8766542,0.08570167
1986-06-18,Paul A Volcker,Board of Governors of the Federal Reserve,Governor,Chair,Philadelphia,0.0,0.0,Board of Governors,-0.33953458,0.13952327,0.81788385,-0.24774908,-0.22862747,-0.8127094,-1.1582776,0.4079668,0.6643519,0.05401781,-0.10923959,-0.6037256,1.194514,1.3087974,-0.17793608,0.042635415,-0.29961222,0.55531424,-0.89827377,-0.40521127
1986-06-24,Robert T Parry,Federal Reserve Bank of San Francisco,Governor,President,San Francisco,0.0,0.0,Federal Reserve Bank of San Francisco,0.3330951,-1.8678931,-3.5799665,2.344413,3.3436239,-0.51537514,-3.8323686,-1.5413241,-4.26433,-2.3304632,8.000354,6.3397913,11.273512,-5.202426,-4.0480485,2.2863426,-4.107781,2.498247,-0.081872016,0.50551516
1986-07-12,Robert P Forrestal,Federal Reserve Bank of Atlanta,Governor,President,Atlanta,0.0,0.0,Federal Reserve Bank of Atlanta,-0.301551,-0.15267225,0.22574809,0.43361324,0.90250933,0.82713556,-1.4588325,0.19291738,-1.2379117,0.9097629,-1.4190261,-0.009213694,-0.7087731,-0.97290254,-0.9261837,0.35114238,0.36409253,0.62193704,0.10002642,0.42796442
1986-07-15,Robert P Forrestal,Federal Reserve Bank of Atlanta,Governor,President,Atlanta,0.0,0.0,Federal Reserve Bank of Atlanta,-0.29299608,-0.5252949,0.50536245,0.2762034,-0.8779928,0.5691096,-0.94365066,1.1430784,-0.9331846,0.35816476,-0.012837401,-0.74812293,-0.35183313,-0.49901742,-0.5776809,-0.14285418,0.98287076,1.0602219,-0.24023493,2.7940187
1986-07-23,Paul A Volcker,Board of Governors of the Federal Reserve,Governor,Chair,Philadelphia,0.0,0.0,Board of Governors,-0.3329492,-0.04890267,0.9541034,-0.8477445,0.6625855,-0.6348485,-0.569336,0.53784907,0.6765407,0.4378174,-0.0957567,-0.40598354,1.070557,0.7822596,0.19276695,-0.676487,-0.27512535,0.9049867,-0.32249248,-0.519433
1986-07-31,Robert P Forrestal,Federal Reserve Bank of Atlanta,Governor,President,Atlanta,0.0,0.0,Federal Reserve Bank of Atlanta,-0.29637757,-0.67358947,1.2563899,-0.40714535,0.46739826,0.5090366,-0.9626836,0.48862717,-0.2610286,0.64054704,-0.5958637,-0.26156488,0.641023,-0.7220323,-0.25570995,-0.7964707,1.0180972,0.21611069,-0.26732,0.5705288
1986-08-07,Robert P Forrestal,Federal Reserve Bank of Atlanta,Governor,President,Atlanta,0.0,0.0,Federal Reserve Bank of Atlanta,-0.29044446,-0.7053337,1.3849648,-0.10431933,0.7370719,0.45042473,-0.68687165,0.6700715,-0.33033085,0.50869787,-0.39795443,-0.2552054,0.5388957,-0.5832844,-0.56784356,-0.9328958,1.0290499,0.57215655,-0.1444781,1.0037767
1986-08-12,Martha Romayne Seger,Board of Governors of the Federal Reserve,Board member,Member,Chicago,1.0,0.0,Board of Governors,-0.25328103,0.96087265,-1.1983927,0.080417454,-0.7346226,0.9594478,1.2956513,-1.3581011,0.13036399,0.639692,-0.12830502,-1.3524618,-0.598519,-2.9789755,-0.4851204,-1.0873381,0.458242,0.921274,-2.0117052,1.491761
1986-09-03,Robert P Forrestal,Federal Reserve Bank of Atlanta,Governor,President,Atlanta,0.0,0.0,Federal Reserve Bank of Atlanta,-0.18240494,-0.53494966,0.14547937,0.44481012,0.46429396,-0.8104956,-0.98475635,0.04317599,-0.31849876,1.0830975,0.33313993,-1.2335525,1.2042705,1.3995756,0.48573732,-0.46677265,1.0845174,0.56064224,0.20533775,1.6706436
1986-09-16,Robert P Forrestal,Federal Reserve Bank of Atlanta,Governor,President,Atlanta,0.0,0.0,Federal Reserve Bank of Atlanta,-0.29499197,-0.22633585,0.86667377,-0.46904528,0.49533817,0.34105757,-0.94051844,0.18704492,-0.32334343,0.7310078,-0.14553872,-0.7707444,1.0682694,0.6199263,0.28877914,0.11243864,0.67959845,1.1705401,-0.0052455175,0.8743715
1986-09-17,Manuel H Johnson,Board of Governors of the Federal Reserve,Deputy Governor,Vice Chair,Richmond,0.0,0.0,Board of Governors,-0.23100121,0.09748441,0.8335148,0.09256987,0.77607,-0.9526988,-0.8666326,-0.46785516,1.5498008,-0.53146666,0.20848833,-1.0190243,0.9489227,0.6357261,0.89532524,-0.4961377,-0.12785816,1.7183645,0.26138195,0.07268627
1986-09-24,Paul A Volcker,Board of Governors of the Federal Reserve,Governor,Chair,Philadelphia,0.0,0.0,Board of Governors,-0.31926733,0.08322518,0.8365602,-0.5297055,0.07008796,-0.8928028,-0.774792,0.5823891,0.7956566,0.52411777,0.2207651,-0.37161928,1.6265832,0.5686891,0.5224802,-0.6407237,0.24554811,1.066548,-0.78842306,-0.6970155
1986-09-26,Martha Romayne Seger,Board of Governors of the Federal Reserve,Board member,Member,Chicago,1.0,0.0,Board of Governors,-0.13873425,-0.26810634,-1.9082032,0.4342743,0.08488578,0.21999946,1.5438541,-1.3279368,0.44949982,2.4063344,-0.5014792,1.47447,-0.6286764,-0.7585574,-0.68008226,-0.9680161,1.8175161,1.4787757,-1.4498568,0.75433624
1986-09-30,Robert T Parry,Federal Reserve Bank of San Francisco,Governor,President,San Francisco,0.0,0.0,Federal Reserve Bank of San Francisco,-0.30903688,-0.1284912,0.6981505,-0.974795,1.640237,-0.053764466,0.36717618,0.70924646,0.3026049,0.5494143,0.2900465,0.12659697,0.7358008,-0.8433337,0.55771583,-0.44993496,0.98300475,1.1376945,0.5110186,0.67088467
1986-10-02,Robert T Parry,Federal Reserve Bank of San Francisco,Governor,President,San Francisco,0.0,0.0,Federal Reserve Bank of San Francisco,-0.29836303,-0.16210349,0.80428576,-0.97252315,1.5923904,-0.14909285,0.44623008,0.6276987,0.23206872,0.66313857,0.37742537,0.16842344,0.6111507,-0.7785461,0.50983113,-0.52365977,1.1376556,0.99161804,0.60251284,0.59703463
1986-10-03,Robert T Parry,Federal Reserve Bank of San Francisco,Governor,President,San Francisco,0.0,0.0,Federal Reserve Bank of San Francisco,-0.29364508,-0.12394539,1.0857435,-0.7223617,1.5580385,0.20836444,0.35200676,0.5297821,0.4254228,0.6673422,0.39198336,0.18950157,0.62527597,-0.6341184,0.53968287,-0.19340658,1.2237302,1.2508605,0.47958907,0.5084862
1986-10-09,Thomas C Melzer,Federal Reserve Bank of St Louis,Governor,President,St. Louis,0.0,0.0,Federal Reserve Bank of St. Louis,-0.23449995,0.28783754,1.0716587,-0.029027315,0.9675896,-0.7584578,-0.81414163,-0.8044941,0.2001446,1.0374582,1.2409971,-0.7573784,0.41622403,-0.4250312,2.2247639,1.3195593,0.06426118,0.7219691,2.108655,0.38324288
1986-10-09,Robert T Parry,Federal Reserve Bank of San Francisco,Governor,President,San Francisco,0.0,0.0,Federal Reserve Bank of San Francisco,-0.37462223,1.0011504,-0.1646089,-0.4608327,-0.29313555,-1.1268529,0.06534051,-1.5458536,-0.8072228,0.618053,-1.3012195,-0.24583845,-0.17523058,-0.392059,-0.33483768,0.9416436,0.7320552,0.43959275,-0.9522237,0.64572704
1986-10-10,Martha Romayne Seger,Board of Governors of the Federal Reserve,Board member,Member,Chicago,1.0,0.0,Board of Governors,-0.38045403,1.2045249,-0.080313325,0.37234625,-0.44266367,-1.0121763,0.38104662,-0.3856868,-0.11955731,-0.35181892,-0.8756947,-0.33714643,0.7456805,-0.69036126,0.08262615,-0.551479,0.36419716,-0.7132359,-0.14357725,1.0298661
1986-10-16,Robert P Forrestal,Federal Reserve Bank of Atlanta,Governor,President,Atlanta,0.0,0.0,Federal Reserve Bank of Atlanta,-0.33221048,-0.104705125,0.7220012,-0.84851223,0.14580697,0.40790865,-0.9677162,0.4139018,-0.3153232,0.41477436,-0.18059509,-1.2653844,0.9383359,0.3841412,0.26848298,0.11556394,0.40320575,0.9697316,0.029860016,1.3465924
1986-10-22,Thomas C Melzer,Federal Reserve Bank of St Louis,Governor,President,St. Louis,0.0,0.0,Federal Reserve Bank of St. Louis,-0.060233954,-1.5184183,-0.183214,0.7940399,-1.622461,1.0558307,-0.7085736,-2.448845,2.790468,-1.0155612,-1.0438596,1.0130752,-0.46718818,-1.3420146,-1.0846312,-0.77695817,0.319169,1.0565501,-0.09608879,-0.22964917
1986-10-29,Robert T Parry,Federal Reserve Bank of San Francisco,Governor,President,San Francisco,0.0,0.0,Federal Reserve Bank of San Francisco,1.0426853,-2.9345582,-3.6645954,0.110968195,3.4110482,0.16397615,-1.1160308,-3.4300435,-5.830222,3.454467,2.204795,-0.08622981,-1.403815,2.8219512,-2.9999254,-4.784541,0.27989346,-4.4655633,3.5084338,-1.1807759
1986-10-30,Emmett John Rice,Board of Governors of the Federal Reserve,Board member,Member,New York,0.0,1.0,Board of Governors,-0.30253008,0.7397988,-0.89729285,0.20413812,-0.7936412,-0.8340524,0.4854934,-0.5639714,0.12524565,0.6124511,-0.9225206,-0.69130325,0.7555466,-0.35971382,-0.2174754,-0.8457165,0.39350373,0.78775734,-0.80556613,1.616261
1986-10-30,Robert P Forrestal,Federal Reserve Bank of Atlanta,Governor,President,Atlanta,0.0,0.0,Federal Reserve Bank of Atlanta,-0.26965168,-1.1992172,0.95973855,-0.7601611,0.04931225,0.4993271,0.16290282,0.41101107,-1.021676,0.58208555,-0.951218,-0.28395626,0.28631973,-0.8806935,-0.3905287,-0.3435553,0.48916787,1.0890862,0.19065225,0.8320361
1986-11-01,Robert T Parry,Federal Reserve Bank of San Francisco,Governor,President,San Francisco,0.0,0.0,Federal Reserve Bank of San Francisco,-0.33533067,0.9711501,-0.08799661,-0.051031865,-0.26836526,-0.97376835,0.0022947676,-1.542472,-0.7584395,0.6679331,-1.189073,-0.1878954,-0.1808051,-0.46841058,-0.32010242,1.2312268,0.88067275,0.5153315,-0.9813307,0.48553044
